Region;2000 Forest Area;2000 Land Area;2000 Proportion Calculated;2000 Proportion SDG;Differenz;2010 Forest Area;2010 Land Area;2010 Proportion Calculated;2010 Proportion SDG;Differenz;2020 Forest Area;2020 Land Area;2020 Proportion Calculated;2020 Proportion SDG;Differenz;Nature Forest Area;Nature Land Area;Nature Proportion;Aggregate;Entwicklung Waldfläche effektiv;Entwicklung Waldfläche proportional;Region
Saint Kitts and Nevis;11.00;26.00;42.31;42.31;0.00;11.00;26;42.31;42.31;0.00;11.00;26.00;42.31;42.31;0.00;;;;;0.00;0.00;Saint Kitts and Nevis
Saint Lucia;21.01;61.00;34.44;34.44;0.00;20.77;61;34.05;34.05;0.00;20.77;61.00;34.05;34.05;0.00;;;;;-0.24;-0.39;Saint Lucia
Saint Martin (French Part);1.24;5.00;24.80;24.80;0.00;1.24;5;24.80;24.80;0.00;1.24;5.00;24.80;24.80;0.00;;;;;0.00;0.00;Saint Martin (French Part)
Saint Pierre and Miquelon;1.67;23.00;7.26;7.26;0.00;1.44;23;6.26;6.26;0.00;1.22;23.00;5.30;5.30;0.00;;;;;-0.45;-1.96;Saint Pierre and Miquelon
Saint Vincent and the Grenadines;28.54;39.00;73.18;73.18;0.00;28.54;39;73.18;73.18;0.00;28.54;39.00;73.18;73.18;0.00;;;;;0.00;0.00;Saint Vincent and the Grenadines
Samoa;171.31;283.00;60.53;60.53;0.00;166.49;283;58.83;58.83;0.00;161.67;283.00;57.13;57.13;0.00;;;;;-9.64;-3.41;Samoa
San Marino;1.00;6.00;16.67;16.67;0.00;1.00;6;16.67;16.67;0.00;1.00;6.00;16.67;16.67;0.00;;;;;0.00;0.00;San Marino
Sao Tome and Principe;58.36;96.00;60.79;60.79;0.00;58.10;96;60.52;60.52;0.00;51.90;96.00;54.06;54.06;0.00;;;;;-6.46;-6.73;Sao Tome and Principe
Saudi Arabia;977.00;214969.00;0.45;0.45;0.00;977.00;214969;0.45;0.45;0.00;977.00;214969.00;0.45;0.45;0.00;;;;;0.00;0.00;Saudi Arabia
Senegal;8853.16;19253.00;45.98;45.98;0.00;8468.16;19253;43.98;43.98;0.00;8068.16;19253.00;41.91;41.91;0.00;;;;;-785.00;-4.08;Senegal
Serbia;2460.00;8746.00;28.13;28.13;0.00;2713.00;8746;31.02;31.02;0.00;2722.65;8746.00;31.13;31.13;0.00;;;;;262.65;3.00;Serbia
Seychelles;33.70;46.00;73.26;73.26;0.00;33.70;46;73.26;73.26;0.00;33.70;46.00;73.26;73.26;0.00;;;;;0.00;0.00;Seychelles
Sierra Leone;2929.43;7218.00;40.59;40.59;0.00;2732.16;7218;37.85;37.85;0.00;2534.88;7218.00;35.12;35.12;0.00;;;;;-394.55;-5.47;Sierra Leone
Singapore;17.01;67.00;25.39;25.39;0.00;17.74;70.2;25.27;25.27;0.00;15.57;70.90;21.96;21.96;0.00;;;;;-1.44;-3.43;Singapore
Sint Maarten (Dutch part);0.37;3.40;10.88;10.88;0.00;0.37;3.4;10.88;10.88;0.00;0.37;3.40;10.88;10.88;0.00;;;;;0.00;0.00;Sint Maarten (Dutch part)
Slovakia;1901.41;4810.00;39.53;39.53;0.00;1917.91;4809.1;39.88;39.88;0.00;1925.90;4808.00;40.06;40.06;0.00;;;;;24.49;0.53;Slovakia
Slovenia;1233.00;2014.00;61.22;61.22;0.00;1247.00;2014.62;61.90;61.90;0.00;1237.83;2013.64;61.47;61.47;0.00;;;;;4.83;0.25;Slovenia
Small island developing States (SIDS);87011.26;119247.20;72.97;72.97;0.00;87399.84;119154.4;73.35;73.35;0.00;87088.97;118891.10;73.25;73.25;0.00;;;;yes;77.71;0.28;Small island developing States (SIDS)
Solomon Islands;2537.60;2799.00;90.66;90.66;0.00;2530.28;2799;90.40;90.40;0.00;2522.97;2799.00;90.14;90.14;0.00;;;;;-14.63;-0.52;Solomon Islands
Somalia;7515.00;62734.00;11.98;11.98;0.00;6747.50;62734;10.76;10.76;0.00;5980.00;62734.00;9.53;9.53;0.00;;;;;-1535.00;-2.45;Somalia
